timestamps population node_ids
100.25 v1 97589
303.25 v1 97589
2024.25 v1 97589
1374.5 v1 97688
1898.5 v1 97688
236.75 v1 97744
572.0 v1 97744
1260.25 v1 97744
1558.0 v1 97744
1847.75 v1 97744
2049.75 v1 97744
2194.5 v1 97744
2408.5 v1 97744
1241.0 v1 97997
731.5 v1 98029
812.75 v1 98029
225.75 v1 98061
845.75 v1 98061
1176.5 v1 98061
1274.25 v1 98061
1515.25 v1 98061
2344.0 v1 98061
1495.25 v1 98128
196.0 v1 98198
607.25 v1 98264
723.5 v1 98370
2206.5 v1 98409
1999.75 v1 98507
384.75 v1 98590
520.0 v1 98590
575.25 v1 98590
661.0 v1 98590
748.0 v1 98590
980.0 v1 98590
1185.25 v1 98590
1631.75 v1 98590
2272.25 v1 98590
2690.75 v1 98590
2893.0 v1 98590
2217.0 v1 98708
1232.0 v1 98778
2409.75 v1 98778
1196.25 v1 98812
1518.0 v1 98812
1672.5 v1 98812
2864.75 v1 98812
1985.75 v1 99048
2395.0 v1 99048
1099.5 v1 99098
1941.5 v1 99234
2268.75 v1 99234
2845.5 v1 99234
2757.0 v1 99326
2207.25 v1 99361
2562.5 v1 99478
1939.5 v1 99664
2176.0 v1 99664
112.75 v1 99747
1475.5 v1 99747
2518.25 v1 99747
2716.75 v1 99747
2948.75 v1 99747
2695.25 v1 99876
1193.0 v1 99936
2815.25 v1 99973
2020.0 v1 100002
2147.75 v1 100002
2952.0 v1 100002
2489.75 v1 100069
2865.5 v1 100069
1739.25 v1 100104
425.5 v1 100128
678.0 v1 100128
2228.75 v1 100128
2884.25 v1 100128
301.5 v1 100257
1386.0 v1 100491
2459.0 v1 100601
2921.75 v1 100646
684.5 v1 100685
1448.25 v1 100685
1603.5 v1 100685
2039.75 v1 100685
2739.75 v1 100685
2879.5 v1 100685
2916.0 v1 100723
461.75 v1 101017
2035.5 v1 101017
856.25 v1 101121
1381.25 v1 101121
1742.75 v1 101121
1119.5 v1 101209
2326.25 v1 87627
1053.5 v1 87738
942.75 v1 88183
1611.25 v1 88183
2217.5 v1 88183
1434.0 v1 88319
2145.0 v1 88858
2010.0 v1 89416
1939.0 v1 89532
1964.75 v1 89730
157.25 v1 90092
920.0 v1 90092
1983.75 v1 90322
2504.0 v1 90858
1453.0 v1 91026
1895.25 v1 91026
395.0 v1 91209
2211.5 v1 91209
491.5 v1 91306
1304.25 v1 91306
1575.0 v1 91306
1794.5 v1 91306
2559.0 v1 91306
2915.75 v1 91306
332.75 v1 91422
1175.75 v1 91422
1282.0 v1 91422
2494.5 v1 91422
2984.5 v1 91422
934.5 v1 91954
1352.25 v1 91954
1621.0 v1 91954
1902.25 v1 91954
2098.25 v1 91954
2378.5 v1 91954
2875.0 v1 91954
106.25 v1 92211
644.5 v1 92211
1474.0 v1 92211
1973.75 v1 92211
2173.75 v1 92211
2600.0 v1 92211
2780.5 v1 92211
2984.25 v1 92211
1934.25 v1 92341
271.75 v1 92832
637.75 v1 92832
1038.25 v1 92832
1296.25 v1 92832
1428.0 v1 92832
1635.0 v1 92832
1808.75 v1 92832
1957.25 v1 92832
2220.75 v1 92832
2413.75 v1 92832
2812.75 v1 92832
1500.25 v1 93163
399.5 v1 93323
2357.5 v1 93323
2786.5 v1 93323
1116.75 v1 93452
2835.25 v1 93452
892.0 v1 94107
2576.5 v1 94107
1240.25 v1 94794
560.0 v1 95014
1087.25 v1 95014
2000.75 v1 95278
176.0 v1 95390
319.0 v1 95390
419.75 v1 95390
885.75 v1 95390
1242.25 v1 95390
1748.0 v1 95390
2364.5 v1 95390
2674.0 v1 95390
1054.0 v1 95715
1153.5 v1 95715
1235.5 v1 95715
1550.75 v1 95715
2769.25 v1 95715
1668.75 v1 96182
147.25 v1 96408
807.0 v1 96513
1061.0 v1 96513
1200.25 v1 96513
2135.25 v1 96513
2709.5 v1 96513
1106.5 v1 96909
1509.0 v1 96909
2074.75 v1 96909
2382.0 v1 96909
373.75 v1 97216
899.25 v1 97374
1343.75 v1 97374
1580.0 v1 97374
2583.75 v1 97374
516.75 v1 97490
1368.25 v1 97490
1601.25 v1 97490
1139.75 v1 97812
1492.75 v1 97812
1775.75 v1 97812
2145.0 v1 97812
2836.5 v1 97812
116.75 v1 98025
507.25 v1 98025
811.5 v1 98025
989.0 v1 98025
2754.5 v1 98025
424.25 v1 98247
1203.5 v1 98399
2633.75 v1 98567
358.25 v1 98676
636.5 v1 98676
832.75 v1 98676
987.75 v1 98676
1192.25 v1 98676
1706.5 v1 98676
2033.75 v1 98676
2279.5 v1 98676
2614.75 v1 98676
296.0 v1 98899
2021.25 v1 98899
120.0 v1 99112
734.75 v1 99112
944.5 v1 99112
1134.5 v1 99112
2000.0 v1 99112
2281.5 v1 99112
2683.25 v1 99112
2745.0 v1 99320
469.0 v1 99634
1595.0 v1 99634
2229.75 v1 100064
84.5 v1 100396
327.5 v1 100396
585.5 v1 100396
1191.75 v1 100396
1890.25 v1 100396
1946.0 v1 100396
2204.5 v1 100396
2548.25 v1 100396
2860.0 v1 100396
584.5 v1 100828
1168.25 v1 100828
1344.0 v1 100828
2894.0 v1 100828
2211.5 v1 100947
2341.0 v1 100947
126.75 v1 101111
803.25 v1 101111
1640.25 v1 101111
2213.25 v1 101111
2831.5 v1 101111
2395.25 v1 87534
2930.75 v1 87534
1220.0 v1 87646
2014.75 v1 87759
1640.5 v1 87825
99.75 v1 87928
501.75 v1 87928
966.75 v1 87928
1304.75 v1 87928
214.5 v1 88123
497.0 v1 88123
1057.25 v1 88123
1110.75 v1 88123
1196.5 v1 88123
1239.75 v1 88123
1538.75 v1 88123
1770.25 v1 88123
2244.5 v1 88123
2339.75 v1 88123
2750.0 v1 88123
909.25 v1 88189
2277.5 v1 88248
2452.75 v1 88248
117.25 v1 88339
393.5 v1 88339
762.75 v1 88339
899.25 v1 88339
1233.75 v1 88339
1664.5 v1 88339
1852.25 v1 88339
1990.25 v1 88339
2747.0 v1 88339
443.0 v1 88487
873.0 v1 88487
1018.75 v1 88487
2565.0 v1 88487
2706.5 v1 88487
2835.25 v1 88487
2992.75 v1 88487
65.5 v1 88612
363.25 v1 88612
470.5 v1 88612
704.5 v1 88612
1417.0 v1 88612
1605.0 v1 88612
